snomed_id,name,display_name,synonyms,level_concept,type_concept,type_information,active
118940003,Disorder of nervous system,Neurological health,"['Neurological disorder', 'Nervous system disease', 'Disorder of nervous system (disorder)', 'Disorder of nervous system']",system,Disorder,SelfHistory,
119247004,Hypoalbuminemia,Hypoalbuminemia,"['Hypoalbuminemia', 'Hypoalbuminaemia', 'Serum albumin low', 'Hypoalbuminemia (disorder)']",granular,Disorder,SelfHistory,
119291004,Disorder of upper gastrointestinal tract,Upper Gastrointestinal problems,"['Disorder of upper gastrointestinal tract (disorder)', 'Disorder of upper gastrointestinal tract']",group,Disorder,SelfHistory,
119746007,Lung excision,resection of lung,"['Lung excision', 'Excision of lung', 'Pulmonary resection', 'Resection of lung', 'Lung excision (procedure)']",granular,Procedure,SelfHistory,
119856003,Breast repair,breast repair,"['Breast repair', 'Breast repair (procedure)', 'Repair of breast']",granular,Procedure,SelfHistory,
119954001,Adenoid excision,adenoidectomy,"['Adenoid excision', 'As - Adenoidectomy', 'Excision of adenoid', 'Ads - Adenoidectomy', 'Adenoidectomy', 'Adenoid excision (procedure)']",granular,Procedure,SelfHistory,
120001005,Testis excision,orchidectomy,"['Testis excision', 'Testis excision (procedure)', 'Excision of testis']",group,Procedure,SelfHistory,
120041000119109,Atrial fibrillation with rapid ventricular response,Atrial fibrillation with rapid ventricular response,"['Atrial fibrillation with rapid ventricular response', 'Atrial fibrillation with rapid ventricular response (disorder)']",granular,Disorder,SelfHistory,
120053002,Fallopian tube excision,fallopian tube excision,"['Fallopian tube excision', 'Fallopian tube excision (procedure)', 'Salpingectomy']",granular,Procedure,SelfHistory,
12063002,Rectal hemorrhage,Rectorrhagia,"['Rectorrhagia', 'Proctorrhagia', 'Rectal bleeding', 'Bleeding per rectum', 'PR - Bleeding per rectum', 'Blood per rectum', 'PR - Blood per rectum', 'RB - Rectal bleeding', 'PRB - Rectal bleeding', 'Rectal haemorrhage', 'Rectal hemorrhage', 'Rectal hemorrhage (disorder)']",granular,Disorder,SelfHistory,
121000119106,Lesion of skin of face,Lesion of skin of face,"['Lesion of skin of face', 'Lesion of skin of face (disorder)']",granular,Disorder,SelfHistory,
12138000,Large head,Large head,"['Skull enlargement', 'Large skull', 'Large head', 'Large head (disorder)']",,Finding,SelfHistory,
12241791000119109,,Bilateral red eyes (disorder),,granular,Disorder,SelfHistory,
122463005,Embolization procedure,embolisation,"['Embolization procedure', 'Embolization', 'Embolisation procedure', 'Embolisation', 'Embolization procedure (procedure)']",granular,Procedure,SelfHistory,
12295008,Bronchiectasis,Bronchiectasis,"['Bronchiectasis', 'Bronchiectasis (disorder)']",granular,Disorder,SelfHistory,
123756000,Menopausal syndrome,Menopausal syndrome,"['Menopausal syndrome', 'Menopausal syndrome (disorder)']",granular,Disorder,SelfHistory,
123798002,Lumbosacral spondylosis,Lumbosacral spondylosis,"['Lumbosacral spondylosis', 'Lumbosacral spondylosis (disorder)']",group,Disorder,SelfHistory,
123841004,Neoplasm of uterine cervix,Cervical cancer,"['Neoplasm of uterine cervix', 'Neoplasm of uterine cervix (disorder)', 'Tumour of cervix', 'Tumor of cervix']",granular,Disorder,SelfHistory,
