condition_snomed_id,speciality_id,weight
77386006,22,medium
840539006,22,medium
75119003,22,low
399882002,22,high
128608001,22,very_high
449826002,23,high
19843006,23,very_high
81004002,23,low
33659008,23,very_high
13758004,23,medium
82271004,23,low
125594001,23,low
52011008,23,low
370977006,23,high
57406009,23,low
371087003,23,low
64859006,24,medium
23056005,24,very_high
73589001,24,very_high
396275006,24,low
50448004,24,very_high
239880009,24,high
2415007,24,very_high
387800004,24,medium
3723001,24,medium
9631008,24,medium
237055002,25,high
95315005,25,medium
860914002,25,very_high
44991000119100,25,medium
239960007,27,medium
37340000,27,low
721764008,27,medium
24700007,27,medium
73297009,27,medium
16631009,27,medium
239720000,27,medium
68859000,27,medium
279040009,27,medium
58756001,27,medium
53286005,27,medium
40956001,27,low
44465007,27,medium
444158007,27,high
86044005,27,medium
11654001,27,medium
3238004,29,medium
52254009,29,medium
60046008,29,high
59282003,29,very_high
33737001,29,high
212372004,29,medium
5291005,29,high
23097003,29,medium
111245009,29,high
19362000,29,low
840539006,29,medium
128210009,30,high
237602007,31,very_high
230572002,31,very_high
25093002,31,high
11687002,31,very_high
302866003,31,very_high
127013003,31,very_high
38481006,31,very_high
472969004,31,very_high
127014009,31,very_high
420422005,31,very_high
128045006,31,low
46635009,31,very_high
371087003,31,very_high
44054006,31,very_high
709044004,31,high
126485001,32,medium
69896004,32,high
89155008,32,high
9014002,32,high
83901003,32,very_high
55464009,32,very_high
31384009,32,medium
156370009,32,very_high
2734,32,very_high
444248002,32,medium
61582004,32,medium
68225006,32,high
448589005,32,very_high
371081002,32,very_high
4927003,32,medium
897657000,32,low
1771000119109,32,very_high
1033009,32,very_high
115665000,32,very_high
26843008,32,high
85828009,32,very_high
699302001,32,very_high
56317004,32,low
443798008,32,very_high
68449006,32,very_high
88616000,32,medium
263172003,33,high
157176002,33,very_high
449826002,35,low
48723006,35,very_high
22053006,35,very_high
860914002,35,very_high
76618002,39,medium
709044004,39,high
47270006,39,medium
237055002,40,high
18973006,40,high
238968009,40,very_high
72934000,40,high
30800001,40,high
68566005,40,low
54048003,40,very_high
20016009,40,very_high
276319003,40,very_high
16607004,40,very_high
415105001,40,very_high
240542006,40,very_high
28432003,40,high
186729003,40,very_high
34571000,40,very_high
271737000,40,medium
57044006,40,very_high
67624004,40,very_high
26843008,40,very_high
254837009,40,low
58851004,40,very_high
419760006,40,very_high
363354003,40,medium
52441000,40,medium
281623008,40,very_high
22053006,40,very_high
40930008,40,medium
266113007,40,very_high
34486009,40,medium
15628003,40,very_high
